price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,Furnished_status,type_of_building,Balcony_missing
3900000.0,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",800.0,28.387731,76.96791987,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Flat,0
9000000.0,"sector 103 gurgaon, Dwarka Expressway, Gurgaon, Delhi NCR",1481.0,28.49744987487793,77.02709197998047,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Flat,0
8350000.0,"lotus boulevard, Sector 100, Noida, Delhi NCR",1398.0,28.5434121846104,77.367853,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
13500000.0,"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52, Gurgaon, Delhi NCR",2150.0,28.435208771263,77.0902252334016,3.0,3.0,4.0,Ready to Move,Resale,Unknown,Individual House,0
5310000.0,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100.0,28.6467392,77.3709475,3.0,2.0,2.0,Ready to Move,Resale,Furnished,Flat,1
15000000.0,"Sector 68, Gurgaon, Delhi NCR",1960.0,28.3907304,77.05782257,3.0,3.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,1
17500000.0,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",2450.0,28.482277,76.99199526,3.0,3.0,3.0,Ready to Move,New Property,Unknown,Flat,0
5000000.0,"Aspire1106, Sector 78, Noida, Delhi NCR",1000.0,28.5604873040921,77.384084,2.0,2.0,3.0,Ready to Move,Resale,Unknown,Flat,0
3500000.0,"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",850.0,28.559850692749023,77.24765014648438,2.0,2.0,1.0,Ready to Move,Resale,Furnished,Flat,0
4550000.0,"Krishna Park Colony, New Delhi - South, Delhi NCR",950.0,28.50809,77.2314673,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,0
4000000.0,"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",700.0,28.558586,77.2511855,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Flat,1
3500000.0,"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden, Ghaziabad, Delhi NCR",750.0,28.6895694732666,77.33861541748047,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,0
3500000.0,"205. Hardik tower sector 53 Noida, Sector 53, Noida, Delhi NCR",950.0,28.5905383,77.35981,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Individual House,0
2400000.0,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",540.0,28.59227180480957,77.08367919921875,2.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,0
80000000.0,"Central park the resorts sector 48 gurgaon, Sector 48, Gurgaon, Delhi NCR",5571.0,28.424904,77.03476,5.0,5.0,3.0,Ready to Move,Resale,Unknown,Individual House,0
9500000.0,"Patel Nagar West, New Delhi - West, Delhi NCR",1200.0,28.652429,77.1643181,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,0
10500000.0,"Sector 65, Gurgaon, Delhi NCR",1020.0,28.3978564,77.07393158,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
7500000.0,"G 033., Sector 108, Gurgaon, Delhi NCR",1505.0,28.512136,76.986899,2.0,2.0,2.0,Ready to Move,Resale,Unknown,Flat,0
4800000.0,"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",1232.0,28.652807235717773,77.45092010498047,6.0,3.0,2.0,Ready to Move,Resale,Unfurnished,Flat,0
5600000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929.0,28.436305,77.13605,2.0,2.0,1.0,Ready to Move,Resale,Unknown,Flat,0
